2017-12-01 01:43:02 status unpacked libffi6:amd64 3.1-2+deb8u1
2017-12-01 01:43:02 status unpacked libffi6:amd64 3.1-2+deb8u1
2017-12-01 01:43:02 install libp11-kit0:amd64 <none> 0.20.7-1
2017-12-01 01:43:02 status half-installed libp11-kit0:amd64 0.20.7-1
2017-12-01 01:43:02 status unpacked libp11-kit0:amd64 0.20.7-1
2017-12-01 01:43:02 status unpacked libp11-kit0:amd64 0.20.7-1
2017-12-01 01:43:02 install libtasn1-6:amd64 <none> 4.2-3+deb8u3
2017-12-01 01:43:02 status half-installed libtasn1-6:amd64 4.2-3+deb8u3
2017-12-01 01:43:02 status unpacked libtasn1-6:amd64 4.2-3+deb8u3
2017-12-01 01:43:02 status unpacked libtasn1-6:amd64 4.2-3+deb8u3
2017-12-01 01:43:02 install libgnutls-deb0-28:amd64 <none> 3.3.8-6+deb8u7
2017-12-01 01:43:02 status half-installed libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2017-12-01 01:43:02 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2017-12-01 01:43:02 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2017-12-01 01:43:02 install libkeyutils1:amd64 <none> 1.5.9-5+b1
2017-12-01 01:43:02 status half-installed libkeyutils1:amd64 1.5.9-5+b1
2017-12-01 01:43:02 status unpacked libkeyutils1:amd64 1.5.9-5+b1
2017-12-01 01:43:02 status unpacked libkeyutils1:amd64 1.5.9-5+b1
2017-12-01 01:43:02 install libkrb5support0:amd64 <none> 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:02 status half-installed libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:02 status unpacked libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:02 status unpacked libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:02 install libk5crypto3:amd64 <none> 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:02 status half-installed libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:02 status unpacked libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:02 status unpacked libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:02 install libkrb5-3:amd64 <none> 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:02 status half-installed libkrb5-3:amd64 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:03 status unpacked libkrb5-3:amd64 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:03 status unpacked libkrb5-3:amd64 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:03 install libgssapi-krb5-2:amd64 <none> 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:03 status half-installed libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:03 status unpacked libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u2
2017-12-01 01:43:03 status unpacked libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u2
